Area,Item,Element,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bahrain,Gross Domestic Product,Value US$,4909.130285,5197.5575770000005,5432.210287,5946.492302000001,6410.10698,6786.968612000001,7059.043162999999,7315.426213,6997.873038,7582.447229,9062.906941,8976.207763,9593.509106,11074.822140999999,13150.166878,15968.726806,18504.758606,21730.012434,25710.874407,22938.220338,25713.271277,28776.609460000003,30749.332535,32539.557497,33387.68617,31125.797872000003,32267.860628,35432.666386000004,37876.302426
Bangladesh,Gross Domestic Product,Value US$,28136.571389999997,30066.722399000002,30690.544963999997,31685.289281999998,33674.743447,37866.029743,39795.982701,41169.352757,42676.520395,44758.115448000004,45469.586063999996,45432.923187,47194.75539,51690.437357999996,55949.962466,57628.097481,69971.61988099999,79825.872642,91646.940102,102126.496496,114507.797698,123506.292446,128899.307875,153504.934847,173061.569701,194465.981065,220315.832054,245633.488923,269627.615528
Barbados,Gross Domestic Product,Value US$,2054.70044,2038.24062,1970.028303,2077.925952,2184.662325,2297.053607,2449.281689,2588.836721,2919.04291,3058.799903,3152.105872,3147.2083190000003,3200.677486,3306.9594469999997,3548.807712,3935.512483,4217.45,4674.0,4784.95,4465.65,4529.928302,4657.699462,4610.095995000001,4677.2482899999995,4696.344351,4715.00361,4830.0073520000005,4978.153889,5086.693295
Belarus,Gross Domestic Product,Value US$,19480.345683,19860.059312999998,18353.681998,17367.960615,15666.313395,14323.701997,14990.947761000001,14574.579172,15737.046915,12549.067246999999,10770.187054,12772.736432,15088.618674000001,18428.403815,23924.384607,31231.983629000002,38212.092239,46807.243743,62807.17804199999,50873.190164,57231.905886,61762.342551,65685.908728,75527.534437,78813.05053400001,56454.77726,47723.549319,54725.418814,59662.253541
Belgium,Gross Domestic Product,Value US$,205329.63704,210507.765051,234791.87813400003,224715.153357,244894.49113200002,288029.323087,279195.66115,252704.74889000002,258522.650275,258151.03208600002,236204.35154099998,236539.18085700003,257169.51803099999,317369.47691100003,368553.01633400004,385561.359001,407897.18253499997,470300.114626,515242.61,481316.935539,480951.62949300004,522645.51918400003,496181.260258,521642.714408,534678.0758270001,462149.67934399995,476056.83307399997,504250.025367,543026.266507
Belize,Gross Domestic Product,Value US$,448.97444400000006,479.09432300000003,518.239092,559.858238,580.863705,620.140386,641.383824,654.314354,688.992458,732.732353,832.0724650000001,868.3383779999999,925.063215,983.5141130000001,1051.367661,1102.041612,1210.1551539999998,1271.599933,1351.340704,1317.311308,1377.1791380000002,1460.8002119999999,1522.89979,1579.413515,1662.802599,1723.785357,1775.1001789999998,1836.593466,1871.203164
Benin,Gross Domestic Product,Value US$,1992.9487190000002,2019.866679,2283.484177,2312.835609,1624.9690369999998,2344.819023,2551.6907300000003,2451.3842170000003,2653.25182,2689.779657,2569.196567,2680.246646,3054.599761,3905.302433,4521.331975,4803.672097,5142.319487,5969.435195,7132.859564,7097.232736,6970.254725,7814.112711,8117.076857999999,9110.745403,9575.264608,8454.189037,8579.061472,9269.331673,10411.63717
Bermuda,Gross Domestic Product,Value US$,2034.951875,2114.195038,2150.214657,2290.22135,2382.30629,2556.766532,2714.0,2932.715906,3130.46,3324.9,3480.218951,3680.483,3937.228,4186.525,4484.702566,4868.135685,5368.123,5897.373,6178.69,5938.933,5852.973325,5607.857479,5567.841700999999,5647.420129,5670.241013,5890.682421,6093.129076,6269.384043999999,6351.4
Bhutan,Gross Domestic Product,Value US$,273.600042,233.143033,234.70324300000001,220.85769399999998,259.552943,289.135174,305.64064,356.322548,360.373467,401.809192,439.14255,476.39689699999997,537.046607,621.982253,702.736807,818.86961,897.73136,1196.090841,1258.339565,1264.750067,1585.464266,1820.209093,1823.6901309999998,1798.331398,1958.818616,2059.808459,2219.679527,2528.0091850000003,2658.312058
Bolivia (Plurinational State of),Gross Domestic Product,Value US$,4867.5838810000005,5343.262434,5643.867693,5734.706239,5981.149294,6715.147012,7396.948369,7925.7363159999995,8497.494131,8285.063968,8397.855942,8141.517335,7905.48515,8082.399992000001,8773.156956,9549.120156,11451.845965,13120.084507,16674.309556,17340.02849,19649.786223,23963.162972,27084.497483,30659.338880000003,32996.188013,33000.198248,33941.099855,37508.683068,40287.647931
Bosnia and Herzegovina,Gross Domestic Product,Value US$,7754.7594819999995,6115.682138,4734.635595000001,3630.671071,2818.240189,2033.746135,2825.220284,3879.2006109999998,4336.294651,4804.204841,5693.132324,5945.5943259999995,6896.386224,8712.800449,10410.125222,11222.796203,12864.842266,15778.737138,19112.80123,17613.946141999997,17176.320803,18644.239021,17226.736264,18179.104674000002,18558.731471,16211.618368000001,16912.957666,18080.610875,19781.95002
Botswana,Gross Domestic Product,Value US$,3721.2841350000003,3867.4099079999996,4069.1824340000003,4082.61365,4259.258811,4730.599690999999,4847.757704,5020.265168,4790.481509,5484.26305,5788.311645000001,5489.649947,5438.851395000001,7511.527477,8957.511537999999,9931.249182,10126.990325,10939.025528,10945.13971,10267.084034,12786.612324,15351.912768,14420.2595,14901.698534000001,16250.740393,14420.571192,15646.382169,17405.50354,18614.604731
Brazil,Gross Domestic Product,Value US$,406897.01236999995,378581.334818,362646.104793,406935.59886599996,580494.364386,778052.821653,849622.314042,881512.35562,853815.355293,594071.386008,652360.092545,560746.773511,512030.13231099996,558922.146818,669289.321941,891633.826592,1107626.7114239999,1397114.247307,1695855.391842,1666996.294336,2208838.108593,2616156.606735,2465228.293863,2472819.362259,2456043.766063,1802211.999556,1795085.185213,2053601.6681060002,1868613.092297
British Virgin Islands,Gross Domestic Product,Value US$,119.88747,156.76816000000002,201.188472,269.881679,350.699906,453.368309,512.751563,596.116517,686.333384,768.556352,857.631234,925.0083880000001,897.600732,813.093793,851.9213060000001,993.527528,1076.892481,1154.547507,1132.849779,1000.379442,1020.9351839999999,979.0644470000001,1020.3770720000001,1032.787659,1099.370698,1174.332233,1290.795656,1364.164483,1445.7325119999998
Brunei Darussalam,Gross Domestic Product,Value US$,3900.7024090000004,4101.104064,4636.736503,4549.431934,4529.03921,5245.421237,5668.184453,5758.127022,4487.538132,5096.498703,6649.709092,6206.200903,6474.732994,7265.920303,8722.767581999999,10561.292509,12709.854523,13570.654027,15948.702092,11892.307477,13707.116269,18524.790774,19048.443088,18094.152875,17097.795711000002,12930.298314,11400.266878,12128.166606,13566.912772
Bulgaria,Gross Domestic Product,Value US$,20726.027397,8402.104592,9475.815848,11930.907234,10691.890604,18991.873953,12294.768638,11316.151823999999,15031.030614,13637.0765,13245.999694,14183.449353999998,16403.038072,21144.95571,26157.746657,29868.626122,34380.520758,44403.554808999994,54438.256447,51999.454986000004,50363.557396,57365.296992999996,54012.023258,55592.59845700001,56883.833987,50630.695987,53783.800344,58951.51617,66199.180266
Burkina Faso,Gross Domestic Product,Value US$,3524.059275,3562.2260020000003,3814.199468,3635.6226079999997,2153.638952,2703.731173,2938.972186,2781.167908,3187.074925,3388.343253,2961.053726,3187.5542379999997,3605.3694840000003,4730.210797,5441.950911999999,6143.878154999999,6541.52744,7615.591425,9413.243698,9412.81034,10099.802297,12064.439107,12561.722089,13440.408665,13924.538407,11823.188438,12822.52447,14169.989422999999,16199.647536000002
Burundi,Gross Domestic Product,Value US$,1148.3198830000001,1167.401158,1086.803177,974.8578960000001,1068.821056,1000.4304179999999,868.9608470000001,972.854234,893.6948070000001,808.149939,709.113237,662.3457480000001,628.101556,595.4813320000001,679.8855480000001,1117.109382,1273.375078,1356.1984619999998,1611.8367,1775.4974719999998,2032.1376289999998,2235.809707,2327.4016699999997,2451.62528,2705.829235,2810.5316399999997,2930.089366,3217.01681,3285.1503
Cabo Verde,Gross Domestic Product,Value US$,350.332099,365.188372,407.65436800000003,411.174923,465.19218,557.953517,574.1648769999999,561.064843,597.834851,678.7589839999999,613.244426,640.308145,706.2131730000001,925.693193,1051.195104,1105.394035,1259.9641470000001,1513.937453,1789.327998,1711.8155399999998,1664.310632,1864.8261420000001,1751.887839,1850.9521399999999,1858.125075,1596.154125,1663.011131,1769.786532,1976.814723
Cambodia,Gross Domestic Product,Value US$,1697.719548,2248.213477,2393.653451,2433.856452,2676.188979,3309.356001,3506.7181259999998,3443.471826,3130.078523,3512.7779950000004,3666.637567,3991.795046,4289.402492,4664.899329,5337.8898229999995,6293.048259,7274.501918999999,8639.240662,10351.91778,10401.844097,11242.278819,12829.542935,14054.450781,15268.706934,16702.613003,18049.953906,20016.756231,22177.200589,24571.753581999998
Cameroon,Gross Domestic Product,Value US$,12814.211903,12311.5131,12548.713743,13269.956745,7695.538967,9641.307543,10327.636326,9868.797593000001,10631.315209999999,10841.524258,10046.703864,10420.713434000001,11769.310319,14735.453499000001,17065.15181,17944.082744,19356.045972,22365.265838,26409.783836000002,26017.926061000002,26143.752761,29336.923306,29104.427473000003,32348.187977999998,34942.915662,30905.283529000004,32643.632642,35009.259798,38694.159761
Canada,Gross Domestic Product,Value US$,596076.364338,612508.328121,594364.3095,579055.855316,579918.5484689999,605923.3883189999,630601.3707689999,654980.560203,634013.755089,678395.7174859999,744765.707591,738999.189137,760640.447923,895569.3996530001,1026674.344408,1173143.270551,1319305.689829,1468823.409384,1552933.3483280002,1374624.472823,1617265.763788,1792832.7181349997,1828686.3269119998,1847206.5800240003,1803528.689478,1556127.179015,1530272.790516,1650187.053777,1712562.076052
Cayman Islands,Gross Domestic Product,Value US$,1225.8145,1279.833443,1356.706556,1457.472663,1582.3395289999999,1708.868518,1854.096371,2019.2672579999999,2649.421439,2872.4651940000003,3002.1136920000004,3079.79921,3212.037225,3330.9823850000002,3508.7959060000003,4009.7811799999995,4227.6459,4594.984498,4718.095784,4404.981205,4276.511709,4306.642390999999,4392.0039369999995,4477.4170890000005,4637.027752,4784.703726,4978.366584,5225.231977,5485.221941
Central African Republic,Gross Domestic Product,Value US$,1507.401272,1441.1329859999998,1477.2745109999998,1337.9754039999998,890.574792,1167.0205039999998,1054.4412730000001,981.1490980000001,1012.116,1045.7427699999998,956.832095,974.96739,1037.2787130000002,1192.51345,1328.8716060000002,1412.8057019999999,1537.502785,1754.9286339999999,2033.153896,2029.424164,2033.813912,2265.9515149999997,2236.749993,1565.488523,1755.5184129999998,1632.1361140000001,1811.1778989999998,1997.3542699999998,2243.167109
Chad,Gross Domestic Product,Value US$,1833.675591,1820.0277190000002,1896.094855,1654.085614,1341.884888,1643.276653,1837.2790109999999,1754.8157820000001,1999.334348,1738.8993269999999,1575.765966,1944.724857,2260.468323,3096.886395,5021.656322999999,6680.611991,7453.133895999999,8397.410683,10367.810431999998,9424.521819,10970.62808,12955.776844,14003.83936,13807.443694999998,14499.379434999999,11690.460037,10392.458059,10394.020226999999,11387.424359999999
Chile,Gross Domestic Product,Value US$,34918.285742,39901.846032,48229.522832999995,51214.365032,58636.577126,75099.073732,78959.965348,86298.816404,82716.13939099999,76069.313992,78363.152292,71455.607134,70098.009752,76084.234602,99259.633927,122964.812046,154788.024806,173605.97925499998,179638.483958,172389.50003,218537.56549699997,252251.99203000002,267122.318195,278384.345259,260541.62996100003,243919.08530900002,250339.863131,277746.461078,298231.133533
China,Gross Domestic Product,Value US$,474715.41969899996,506070.70029799995,602288.643003,745095.6726520001,706400.086857,886133.327373,1030589.678632,1146165.922473,1204688.452382,1266262.87525,1389720.544268,1515616.120332,1644228.787644,1829860.7387490002,2135032.712339,2479622.78428,2960443.9060009997,3780264.763851,4834532.76064,5337213.806619001,6343954.634741001,7836769.062795,8837847.004004,9897719.344278,10785279.003207,11370309.913966,11504168.061056,12535816.489996001,14025379.017129
"China, Hong Kong SAR",Gross Domestic Product,Value US$,76928.784621,88960.001716,104272.503149,120354.20728900001,135811.776884,144652.289131,159718.18010899998,177353.16721400002,168885.436392,165768.09539200002,171668.89853900002,169404.327617,166348.87324100002,161385.55880199999,169099.768875,181569.30396,193535.434591,211596.953545,219278.73975300003,214047.795659,228638.678537,248513.617677,262628.87716599996,275696.87983499997,291459.98345,309385.622601,320862.765306,341684.919642,362682.01824299997
"China, Macao SAR",Gross Domestic Product,Value US$,3220.9234309999997,3735.140706,4878.993102,5625.568713000001,6265.857371,6996.070622,7122.539667,7211.272315,6742.395441,6490.612311,6720.492406,6811.227983,7322.647436,8194.991104,10585.663048,12092.275501,14789.613443,18340.55242,20917.419056,21475.565538,28123.582424,36709.821916,43031.773947,51552.364121,55347.797688,45361.903014999996,45322.462543,50559.425547000006,54545.134154
"China, mainland",Gross Domestic Product,Value US$,394565.711648,413375.557876,493137.14675200003,619115.89665,564322.4526020001,734484.96762,863748.958856,961601.482944,1029060.620549,1094004.1675469999,1211331.153323,1339400.564733,1470557.266967,1660280.188844,1955347.280416,2285961.204819,2752118.857967,3550327.257886,4594336.601832,5101690.445422,6087192.37378,7551545.623202001,8532186.352891,9570470.100322,10438471.222069,11015562.388349,11137982.833207,12143572.144807002,13608151.864732001
Colombia,Gross Domestic Product,Value US$,56386.835114999994,57739.762063999995,61800.136375,71530.116423,94407.946821,109249.93709200001,114735.266884,125982.887774,116348.17823699999,101925.55606599999,98931.769472,97283.48064299999,97037.082866,93746.85540700001,115974.89944400001,145180.96171099998,161189.825091,205706.85707,241710.968377,232494.133798,286103.64322800003,334454.044531,370574.41916399996,381866.60330300004,381112.110485,293481.753079,282825.012368,311789.874369,330227.869587
Comoros,Gross Domestic Product,Value US$,510.762203,514.3182370000001,554.675616,549.210045,387.081141,483.21373099999994,480.29548700000004,441.91450599999996,448.83027300000003,463.79946500000005,421.94243099999994,455.574742,510.725138,657.32798,762.021646,787.338145,836.185468,794.621744,911.9673949999999,901.711447,907.093955,1021.7481339999999,1015.9004980000001,1115.905293,1148.0579070000001,988.1506939999999,1011.8708730000001,1065.019333,1165.690421
Congo,Gross Domestic Product,Value US$,3072.95851,3147.9678719999997,3059.889837,2800.24239,1853.1759510000002,2207.380544,2650.414017,2423.022486,2008.0273559999998,2455.559738,3358.9580170000004,2914.925966,3150.40794,3646.832939,4849.373392,6349.779926,8065.1343799999995,8771.102343999999,11602.894194,9495.430274,13678.01191,16443.657996,17693.923328999997,17805.175957,18906.667256,11091.53466,10011.786874,10978.971298999999,14173.188324
Cook Islands,Gross Domestic Product,Value US$,72.583683,79.136808,81.792045,91.454465,108.56830500000001,115.571975,116.540396,107.142124,93.43605500000001,100.04616800000001,99.9837,105.00741699999999,121.33183600000001,166.69656799999998,194.743341,199.196541,204.974498,226.660632,225.45382599999996,215.568521,240.788433,271.970637,299.38102000000003,289.201533,319.453749,302.17346299999997,309.858493,345.608995,362.713891
Costa Rica,Gross Domestic Product,Value US$,7260.596113,7168.858163,8528.591306999999,9537.29996,10432.62154,11507.120157,11619.452084,12552.2064,13615.33186,14195.390056999999,14949.676187000001,15913.323116999998,16504.909035,17195.913957,18528.743975,19952.154757,22600.431090000002,26743.874711,30612.932094,30562.36343,37268.635236,42262.694504,46473.131799,49745.08487,50577.769811,54775.997555999995,57157.995873,58174.550212,60126.014829
Côte d'Ivoire,Gross Domestic Product,Value US$,11892.834267,11531.08945,12032.862336,11152.603588,8314.050721,11104.913313,12139.146708,11722.143261,12640.877308,12561.330037,10681.53571,11192.563448,12346.980845999999,15306.598753999999,16554.517272,17084.92754,17800.887469,20341.870862,24224.905504,24277.494337,24884.503951,25669.753852,26787.285216,31271.2955,35316.494574000004,33119.363299000004,35320.956245,38147.836938,43028.05723
Croatia,Gross Domestic Product,Value US$,16632.203353,13568.539217,12252.224025,12988.508885,17375.913468000002,22417.645769,23710.453762,23854.869152,25467.103241999997,23400.341480000003,21669.247338,23179.681011,26815.779791,34686.712108,41594.143606,45386.468264999996,50437.680227,60171.353428999995,70259.851617,62599.187589,59807.844793,62354.589180999996,56494.517299,58057.146117,57643.221345000005,49530.625299,51596.997794,55319.365463999995,60991.183097
Cuba,Gross Domestic Product,Value US$,28645.093044,24317.592011,22085.593356999998,22366.98663,28447.985651,30428.143931,25017.0,25364.5,25736.7,28364.9,30565.8,31682.3,33590.5,35901.1,38203.4,42643.6,52742.7,58603.8,60806.3,62080.0,64328.0,69511.335013,73141.0,77148.0,80656.0,87205.671393,91370.0,96851.0,100023.0
Curaçao,Gross Domestic Product,Value US$,420706.61166779516,434014.5897730902,464176.91715837293,469155.4846498073,501526.11928477767,558697.6684037612,571235.2538342264,567396.1773766587,566231.776363786,586261.6313285844,599379.3639679423,598177.308463605,624215.925111432,704384.1321981852,795161.2275671479,2344.637262,2457.581712,2593.831498,2833.4761510000003,2869.153199,2951.3427699999997,3038.699626,3131.096109,3147.6161829999996,3158.406032,3151.910755,3122.2879550000002,3116.6291100000003,3127.908038
Cyprus,Gross Domestic Product,Value US$,6258.466317,6460.308316,7742.005287999999,7384.980173000001,8315.502848,9933.04385,10015.185958,9536.405414,10239.867546,10490.240467,9962.865042,10390.206387,11383.256502,14529.168063999998,17306.404388,18693.510309999998,20405.444751,24051.825587,27845.765614,25943.838678,25707.078696,27528.818203,24978.748334,23892.691524,23096.444328999998,19771.222556,20876.290552000002,22638.471872,24962.780237
Czechia,Gross Domestic Product,Value US$,40476.651695,29674.998911000002,34699.498824,40614.582388999996,47554.536921,59774.195574,66986.464624,61792.518553999995,66490.440763,64867.389371000005,61644.834309000005,67524.302078,81910.97632100001,99627.140274,119162.404304,136280.595084,155463.921784,189227.361574,235719.047154,206179.98216400002,207477.857919,227948.349666,207376.427021,209402.444996,207818.330724,186829.940546,195090.272403,215913.545038,245225.88290300002
Czechoslovakia,Gross Domestic Product,Value US$,41035.870238,434014.5897730902,464176.91715837293,469155.4846498073,501526.11928477767,558697.6684037612,571235.2538342264,567396.1773766587,566231.776363786,586261.6313285844,599379.3639679423,598177.308463605,624215.925111432,704384.1321981852,795161.2275671479,854169.8431216616,927346.1818655512,1050779.8727306856,1147770.039630822,1089024.2965898905,1188506.894730575,1326324.4945848295,1352943.0092535857,1402030.1058709715,1440541.9153637511,1362623.471809384,1382563.9891510208,1470293.984579858,1563047.9591944248
Democratic People's Republic of Korea,Gross Domestic Product,Value US$,14702.304147,13687.441859999999,12457.619048,10744.075829000001,8307.075472,4849.295775,10587.906976999999,10322.790698,10273.488372,10280.0,10607.906976999999,11021.860465,10910.0,11051.0,11168.0,13031.19679,13764.393535,14374.670965000001,13336.798315,12035.152492000001,13945.167273,15689.234225,15907.396534,16565.034100999997,17395.832618,16282.601357,16786.184836,17364.724931,17487.261057
Democratic Republic of the Congo,Gross Domestic Product,Value US$,14828.706828,14188.129125,13009.464119,16975.079012000002,9205.583251,8946.579641,9155.409422,9419.104879,9853.19686,8765.57,8342.25675,8346.166733,8728.022248000001,8937.648681,10297.495082,11964.558312000001,14451.859958000001,16737.110427,19788.571874,18648.387485,21565.746507,25839.722464,29306.269641000003,32671.706985,35909.053414999995,37917.678438,40337.512405,37642.464497,47146.003693
Denmark,Gross Domestic Product,Value US$,138248.191892,139225.639188,152914.779881,143194.742599,156163.498397,185008.062069,187633.317171,173538.66093800002,176991.296596,177964.20421300002,164157.90348900002,164791.069851,178634.839746,218096.87993000002,251374.85485300003,264466.867103,282885.943566,319423.321236,353358.918963,321243.393481,321995.350347,344003.209696,327148.89996199997,343584.385594,352993.633221,302673.037999,313115.89693000005,329417.097418,355675.31087399996
Djibouti,Gross Domestic Product,Value US$,456.91392699999994,466.273541,481.591371,482.163616,510.87716100000006,509.63138899999996,496.47087300000004,491.155238,497.75153200000005,525.072791,546.369652,569.5614099999999,590.0227,623.2310669999999,663.912773,708.633195,768.642985,847.9189289999999,976.204275,1093.910617,1243.6517039999999,1453.794455,1705.189898,2042.817163,2216.200395,2445.484583,2618.5877570000002,2766.8680719999998,2923.362593
Dominica,Gross Domestic Product,Value US$,198.194448,210.17284700000002,227.256003,237.518186,255.343133,259.714876,279.984662,290.400471,307.474848,317.276154,321.362593,328.08037,323.60037,337.254444,374.762963,370.414815,397.78888900000004,428.703704,469.05555599999997,498.92963,493.825926,501.4,485.355556,509.259259,523.333333,540.82963,575.47037,519.837037,550.8925929999999
Dominican Republic,Gross Domestic Product,Value US$,9522.418428,9867.165498999999,11443.289343999999,12984.337452,14097.479997999999,15747.403916999998,17078.580525,19653.241406,20872.307172999997,21862.30244,23959.949380000002,25208.160068,25654.738278,20389.120903,22233.034287000002,35510.401478,37932.619633999995,43780.696524,47657.828171,48071.0681,53159.569599,57811.243036,60657.847548000005,62661.707772,66065.071988,68802.095552,72342.999666,76011.274397,81298.58540299999
Ecuador,Gross Domestic Product,Value US$,15231.973,16980.041,18085.191,18929.248,22697.319,24420.668,25213.78,28147.972,27967.906,19635.45,18318.601,24468.324,28548.945,32432.859,36591.661,41507.085,46802.1,51007.777,61762.635,62519.686,69555.367,79276.664,87924.544,95129.659,101726.331,99290.381,99937.696,104295.862,108398.058
Egypt,Gross Domestic Product,Value US$,35995.024949,39199.914163,45789.045447000004,50619.966005,56527.97853099999,65758.03643400001,73961.364055,81571.756042,87146.29812400001,91906.116309,95683.644418,90724.340844,86521.73013899999,74076.435595,79187.405118,94456.321807,107741.50411300002,132165.346646,164843.994478,187956.43976900002,214630.372041,231100.30840900002,276536.289418,270782.459345,300949.11039,317744.560654,270254.532177,195135.29931300002,249751.08160300003
El Salvador,Gross Domestic Product,Value US$,4817.542204,5252.342352000001,5813.399327,6680.269152000001,7679.384019,8921.947111,9586.327762,10221.70588,10936.669910999999,11284.196954000001,11784.927669,12282.5336,12664.190271,13243.892169,13724.810916999999,14698.001419999999,15999.886383000001,17011.750853999998,17986.886243,17601.616009999998,18447.922436,20283.783661,21386.153018,21990.962051,22593.472396,23438.23794,24154.111974,24927.973702,26056.94493
