Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2015","2015","7021","Annual value","USD","555.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2016","2016","7021","Annual value","USD","500.6","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2017","2017","7021","Annual value","USD","616","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2018","2018","7021","Annual value","USD","659","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2019","2019","7021","Annual value","USD","693.2","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2002","2002","7021","Annual value","SLC","24000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2003","2003","7021","Annual value","SLC","25000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2004","2004","7021","Annual value","SLC","22000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2005","2005","7021","Annual value","SLC","28000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2006","2006","7021","Annual value","SLC","31000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2007","2007","7021","Annual value","SLC","28000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2008","2008","7021","Annual value","SLC","34000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2009","2009","7021","Annual value","SLC","41000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2010","2010","7021","Annual value","SLC","41000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2011","2011","7021","Annual value","SLC","43000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2012","2012","7021","Annual value","SLC","49000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2013","2013","7021","Annual value","SLC","53000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2014","2014","7021","Annual value","SLC","48250","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2015","2015","7021","Annual value","SLC","57000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2016","2016","7021","Annual value","SLC","58000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2017","2017","7021","Annual value","SLC","61000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2018","2018","7021","Annual value","SLC","62000","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2002","2002","7021","Annual value","USD","301.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2003","2003","7021","Annual value","USD","323","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2004","2004","7021","Annual value","USD","305.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2005","2005","7021","Annual value","USD","382.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2006","2006","7021","Annual value","USD","426.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2007","2007","7021","Annual value","USD","404.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2008","2008","7021","Annual value","USD","526.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2009","2009","7021","Annual value","USD","564.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2010","2010","7021","Annual value","USD","551.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2011","2011","7021","Annual value","USD","589.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2012","2012","7021","Annual value","USD","632","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2013","2013","7021","Annual value","USD","667.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2014","2014","7021","Annual value","USD","598.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2015","2015","7021","Annual value","USD","566.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2016","2016","7021","Annual value","USD","530","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2017","2017","7021","Annual value","USD","549.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2018","2018","7021","Annual value","USD","531.8","","Official data"
"PP","Producer Prices","7","Angola","5531","Producer Price (SLC/tonne)","656","Coffee, green","2010","2010","7021","Annual value","SLC","47000","","Official data"
"PP","Producer Prices","7","Angola","5531","Producer Price (SLC/tonne)","656","Coffee, green","2011","2011","7021","Annual value","SLC","66000","","Official data"
"PP","Producer Prices","7","Angola","5532","Producer Price (USD/tonne)","656","Coffee, green","2010","2010","7021","Annual value","USD","511.4","","Official data"
"PP","Producer Prices","7","Angola","5532","Producer Price (USD/tonne)","656","Coffee, green","2011","2011","7021","Annual value","USD","702.6","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","1991","1991","7021","Annual value","SLC","47.5","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","1992","1992","7021","Annual value","SLC","50","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","1993","1993","7021","Annual value","SLC","63","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","1994","1994","7021","Annual value","SLC","56","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","1995","1995","7021","Annual value","SLC","42","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","1996","1996","7021","Annual value","SLC","53","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","1997","1997","7021","Annual value","SLC","51","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","1998","1998","7021","Annual value","SLC","70","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","1999","1999","7021","Annual value","SLC","47","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2000","2000","7021","Annual value","SLC","46","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2001","2001","7021","Annual value","SLC","40","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2006","2006","7021","Annual value","SLC","213.3","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2007","2007","7021","Annual value","SLC","212.3","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2008","2008","7021","Annual value","SLC","210.4","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2009","2009","7021","Annual value","SLC","209.1","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2010","2010","7021","Annual value","SLC","359.7","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2011","2011","7021","Annual value","SLC","441.7","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2012","2012","7021","Annual value","SLC","578.8","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2013","2013","7021","Annual value","SLC","750.1","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2014","2014","7021","Annual value","SLC","837","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2015","2015","7021","Annual value","SLC","918.8","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2016","2016","7021","Annual value","SLC","1156.3","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2017","2017","7021","Annual value","SLC","1500","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","667","Tea","2018","2018","7021","Annual value","SLC","1650","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","1991","1991","7021","Annual value","USD","49.8","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","1992","1992","7021","Annual value","USD","50.5","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","1993","1993","7021","Annual value","USD","63.1","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","1994","1994","7021","Annual value","USD","56.1","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","1995","1995","7021","Annual value","USD","42","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","1996","1996","7021","Annual value","USD","53","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","1997","1997","7021","Annual value","USD","51","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","1998","1998","7021","Annual value","USD","70","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","1999","1999","7021","Annual value","USD","47","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2000","2000","7021","Annual value","USD","46","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2001","2001","7021","Annual value","USD","40","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2006","2006","7021","Annual value","USD","69.8","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2007","2007","7021","Annual value","USD","68.6","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2008","2008","7021","Annual value","USD","66.9","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2009","2009","7021","Annual value","USD","56.4","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2010","2010","7021","Annual value","USD","92.3","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2011","2011","7021","Annual value","USD","107.5","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2012","2012","7021","Annual value","USD","127.6","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2013","2013","7021","Annual value","USD","137.4","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2014","2014","7021","Annual value","USD","103.7","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2015","2015","7021","Annual value","USD","99.5","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2016","2016","7021","Annual value","USD","78.3","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2017","2017","7021","Annual value","USD","90.6","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","667","Tea","2018","2018","7021","Annual value","USD","58.7","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1991","1991","7021","Annual value","SLC","609","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1992","1992","7021","Annual value","SLC","645","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1993","1993","7021","Annual value","SLC","592","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1994","1994","7021","Annual value","SLC","637","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1995","1995","7021","Annual value","SLC","753","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1996","1996","7021","Annual value","SLC","716","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1997","1997","7021","Annual value","SLC","684","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1998","1998","7021","Annual value","SLC","721","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1999","1999","7021","Annual value","SLC","672","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2000","2000","7021","Annual value","SLC","687","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2001","2001","7021","Annual value","SLC","802","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2002","2002","7021","Annual value","SLC","840","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2003","2003","7021","Annual value","SLC","869","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2004","2004","7021","Annual value","SLC","905","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2005","2005","7021","Annual value","SLC","847","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2006","2006","7021","Annual value","SLC","977","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2007","2007","7021","Annual value","SLC","1042","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2008","2008","7021","Annual value","SLC","996","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2009","2009","7021","Annual value","SLC","1136","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2011","2011","7021","Annual value","SLC","1130","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2012","2012","7021","Annual value","SLC","1127","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2013","2013","7021","Annual value","SLC","1177","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2014","2014","7021","Annual value","SLC","1153","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2015","2015","7021","Annual value","SLC","1204","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2016","2016","7021","Annual value","SLC","1338","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2017","2017","7021","Annual value","SLC","1602","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2018","2018","7021","Annual value","SLC","1360","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2019","2019","7021","Annual value","SLC","1503","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","1991","1991","7021","Annual value","USD","474.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","1992","1992","7021","Annual value","USD","473.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","1993","1993","7021","Annual value","USD","402.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","1994","1994","7021","Annual value","USD","465.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","1995","1995","7021","Annual value","USD","558.2","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","1996","1996","7021","Annual value","USD","560.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","1997","1997","7021","Annual value","USD","507.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","1998","1998","7021","Annual value","USD","452.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","1999","1999","7021","Annual value","USD","433.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2000","2000","7021","Annual value","USD","398.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2001","2001","7021","Annual value","USD","414.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2002","2002","7021","Annual value","USD","456.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2003","2003","7021","Annual value","USD","563.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2004","2004","7021","Annual value","USD","665.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2005","2005","7021","Annual value","USD","646.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2006","2006","7021","Annual value","USD","735.7","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2007","2007","7021","Annual value","USD","871.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2008","2008","7021","Annual value","USD","835.4","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2009","2009","7021","Annual value","USD","886","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2011","2011","7021","Annual value","USD","1165.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2012","2012","7021","Annual value","USD","1166.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2013","2013","7021","Annual value","USD","1136.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2014","2014","7021","Annual value","USD","1039.3","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2015","2015","7021","Annual value","USD","904.5","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2016","2016","7021","Annual value","USD","994.6","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2017","2017","7021","Annual value","USD","1227.8","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2018","2018","7021","Annual value","USD","1016.1","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","372","Lettuce and chicory","2019","2019","7021","Annual value","USD","1044.8","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1991","1991","7021","Annual value","SLC","747.8","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1992","1992","7021","Annual value","SLC","617.7","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1993","1993","7021","Annual value","SLC","554.5","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1994","1994","7021","Annual value","SLC","654.1","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1995","1995","7021","Annual value","SLC","363.4","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1996","1996","7021","Annual value","SLC","505.1","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1997","1997","7021","Annual value","SLC","374.1","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1998","1998","7021","Annual value","SLC","372.5","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","1999","1999","7021","Annual value","SLC","398.1","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2000","2000","7021","Annual value","SLC","414.1","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2001","2001","7021","Annual value","SLC","551.6","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2002","2002","7021","Annual value","SLC","407","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2003","2003","7021","Annual value","SLC","758","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2004","2004","7021","Annual value","SLC","392","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2005","2005","7021","Annual value","SLC","469","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2006","2006","7021","Annual value","SLC","478","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2007","2007","7021","Annual value","SLC","502","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2008","2008","7021","Annual value","SLC","504","","Official data"
"PP","Producer Prices","11","Austria","5531","Producer Price (SLC/tonne)","372","Lettuce and chicory","2009","2009","7021","Annual value","SLC","447","","Official data"
